id,date,group,from,to,x,z,y,direction,idk,funny
2105,2023-11-23 12:26:08,15,nrf5340,raspi,1609,2016,1610,2,0,fuck IT with a stick
2106,2023-11-23 12:26:09,15,nrf5340,raspi,1612,2016,1604,2,0,fuck IT with a stick
2107,2023-11-23 12:26:11,15,nrf5340,raspi,1610,2023,1605,2,0,fuck IT with a stick
2108,2023-11-23 12:26:13,15,nrf5340,raspi,1612,2017,1606,2,0,fuck IT with a stick
2109,2023-11-23 12:26:15,15,nrf5340,raspi,1611,2010,1602,2,0,fuck IT with a stick
2110,2023-11-23 12:26:17,15,nrf5340,raspi,1610,2017,1616,2,0,fuck IT with a stick
2111,2023-11-23 12:26:19,15,nrf5340,raspi,1610,2024,1611,2,0,fuck IT with a stick
2112,2023-11-23 12:26:21,15,nrf5340,raspi,1611,2025,1606,2,0,fuck IT with a stick
2113,2023-11-23 12:26:23,15,nrf5340,raspi,1605,2025,1617,2,0,fuck IT with a stick
2114,2023-11-23 12:26:25,15,nrf5340,raspi,1613,2014,1609,2,0,fuck IT with a stick
2115,2023-11-23 12:26:27,15,nrf5340,raspi,1615,2025,1605,2,0,fuck IT with a stick
2116,2023-11-23 12:26:29,15,nrf5340,raspi,1612,2017,1599,2,0,fuck IT with a stick
2117,2023-11-23 12:26:31,15,nrf5340,raspi,1611,2015,1606,2,0,fuck IT with a stick
2118,2023-11-23 12:26:32,15,nrf5340,raspi,1607,2026,1604,2,0,fuck IT with a stick
2119,2023-11-23 12:26:34,15,nrf5340,raspi,1604,2018,1595,2,0,fuck IT with a stick
2120,2023-11-23 12:26:36,15,nrf5340,raspi,1612,2019,1600,2,0,fuck IT with a stick
2121,2023-11-23 12:26:38,15,nrf5340,raspi,1611,2023,1598,2,0,fuck IT with a stick
2122,2023-11-23 12:26:40,15,nrf5340,raspi,1614,2013,1598,2,0,fuck IT with a stick
2123,2023-11-23 12:26:42,15,nrf5340,raspi,1608,2019,1599,2,0,fuck IT with a stick
2124,2023-11-23 12:26:43,15,nrf5340,raspi,1611,2020,1605,2,0,fuck IT with a stick
2125,2023-11-23 12:26:45,15,nrf5340,raspi,1610,2020,1602,2,0,fuck IT with a stick
2126,2023-11-23 12:26:47,15,nrf5340,raspi,1620,2014,1603,2,0,fuck IT with a stick
2127,2023-11-23 12:26:49,15,nrf5340,raspi,1608,2025,1602,2,0,fuck IT with a stick
2128,2023-11-23 12:26:52,15,nrf5340,raspi,1604,2017,1615,2,0,fuck IT with a stick
2129,2023-11-23 12:26:54,15,nrf5340,raspi,1605,2019,1610,2,0,fuck IT with a stick
2130,2023-11-23 12:26:55,15,nrf5340,raspi,1612,2021,1604,2,0,fuck IT with a stick
2131,2023-11-23 12:26:57,15,nrf5340,raspi,1614,2017,1606,2,0,fuck IT with a stick
2132,2023-11-23 12:26:59,15,nrf5340,raspi,1615,2016,1604,2,0,fuck IT with a stick
2133,2023-11-23 12:27:01,15,nrf5340,raspi,1601,2017,1606,2,0,fuck IT with a stick
2134,2023-11-23 12:27:03,15,nrf5340,raspi,1609,2017,1610,2,0,fuck IT with a stick
2135,2023-11-23 12:27:05,15,nrf5340,raspi,1610,2017,1598,2,0,fuck IT with a stick
2136,2023-11-23 12:27:07,15,nrf5340,raspi,1615,2017,1605,2,0,fuck IT with a stick
2137,2023-11-23 12:27:08,15,nrf5340,raspi,1612,2017,1598,2,0,fuck IT with a stick
2138,2023-11-23 12:27:10,15,nrf5340,raspi,1605,2017,1606,2,0,fuck IT with a stick
2139,2023-11-23 12:27:12,15,nrf5340,raspi,1614,2025,1604,2,0,fuck IT with a stick
2140,2023-11-23 12:27:14,15,nrf5340,raspi,1614,2025,1596,2,0,fuck IT with a stick
2141,2023-11-23 12:27:16,15,nrf5340,raspi,1617,2017,1606,2,0,fuck IT with a stick
2142,2023-11-23 12:27:18,15,nrf5340,raspi,1604,2019,1606,2,0,fuck IT with a stick
2143,2023-11-23 12:27:42,15,nrf5340,raspi,1626,1701,1985,3,0,fuck IT with a stick
2144,2023-11-23 12:27:44,15,nrf5340,raspi,1616,1702,1992,3,0,fuck IT with a stick
2145,2023-11-23 12:27:46,15,nrf5340,raspi,1629,1706,1976,3,0,fuck IT with a stick
2146,2023-11-23 12:27:48,15,nrf5340,raspi,1626,1704,1989,3,0,fuck IT with a stick
2147,2023-11-23 12:27:50,15,nrf5340,raspi,1625,1701,1978,3,0,fuck IT with a stick
2148,2023-11-23 12:27:52,15,nrf5340,raspi,1623,1698,1990,3,0,fuck IT with a stick
2149,2023-11-23 12:27:54,15,nrf5340,raspi,1619,1698,1993,3,0,fuck IT with a stick
2150,2023-11-23 12:27:56,15,nrf5340,raspi,1624,1694,1978,3,0,fuck IT with a stick
2151,2023-11-23 12:27:58,15,nrf5340,raspi,1624,1698,1972,3,0,fuck IT with a stick
2152,2023-11-23 12:27:59,15,nrf5340,raspi,1624,1698,1974,3,0,fuck IT with a stick
2153,2023-11-23 12:28:01,15,nrf5340,raspi,1627,1703,1971,3,0,fuck IT with a stick
2154,2023-11-23 12:28:03,15,nrf5340,raspi,1622,1699,1971,3,0,fuck IT with a stick
2155,2023-11-23 12:28:05,15,nrf5340,raspi,1618,1697,1982,3,0,fuck IT with a stick
2156,2023-11-23 12:28:07,15,nrf5340,raspi,1623,1693,1971,3,0,fuck IT with a stick
2157,2023-11-23 12:28:09,15,nrf5340,raspi,1623,1693,1974,3,0,fuck IT with a stick
2158,2023-11-23 12:28:11,15,nrf5340,raspi,1618,1702,1969,3,0,fuck IT with a stick
2159,2023-11-23 12:28:12,15,nrf5340,raspi,1625,1701,1973,3,0,fuck IT with a stick
2160,2023-11-23 12:28:14,15,nrf5340,raspi,1617,1692,1981,3,0,fuck IT with a stick
2161,2023-11-23 12:28:16,15,nrf5340,raspi,1618,1696,1988,3,0,fuck IT with a stick
2162,2023-11-23 12:28:18,15,nrf5340,raspi,1624,1690,1981,3,0,fuck IT with a stick
2163,2023-11-23 12:28:20,15,nrf5340,raspi,1626,1691,1986,3,0,fuck IT with a stick
2164,2023-11-23 12:28:22,15,nrf5340,raspi,1624,1691,1978,3,0,fuck IT with a stick
2165,2023-11-23 12:28:24,15,nrf5340,raspi,1625,1708,1983,3,0,fuck IT with a stick
2166,2023-11-23 12:28:25,15,nrf5340,raspi,1624,1699,1988,3,0,fuck IT with a stick
2167,2023-11-23 12:28:27,15,nrf5340,raspi,1621,1704,1983,3,0,fuck IT with a stick
2168,2023-11-23 12:28:29,15,nrf5340,raspi,1618,1692,1983,3,0,fuck IT with a stick
2169,2023-11-23 12:28:31,15,nrf5340,raspi,1613,1689,1971,3,0,fuck IT with a stick
2170,2023-11-23 12:28:33,15,nrf5340,raspi,1624,1696,1972,3,0,fuck IT with a stick
2171,2023-11-23 12:28:35,15,nrf5340,raspi,1617,1695,1974,3,0,fuck IT with a stick
2172,2023-11-23 12:28:37,15,nrf5340,raspi,1624,1686,1981,3,0,fuck IT with a stick
2173,2023-11-23 12:28:38,15,nrf5340,raspi,1614,1696,1993,3,0,fuck IT with a stick
2174,2023-11-23 12:28:40,15,nrf5340,raspi,1620,1699,1989,3,0,fuck IT with a stick
2175,2023-11-23 12:28:42,15,nrf5340,raspi,1622,1698,1984,3,0,fuck IT with a stick
2176,2023-11-23 12:28:44,15,nrf5340,raspi,1618,1700,1983,3,0,fuck IT with a stick
2177,2023-11-23 12:28:46,15,nrf5340,raspi,1618,1686,1984,3,0,fuck IT with a stick
2178,2023-11-23 12:28:48,15,nrf5340,raspi,1619,1701,1974,3,0,fuck IT with a stick
2179,2023-11-23 12:28:50,15,nrf5340,raspi,1617,1693,1975,3,0,fuck IT with a stick
2180,2023-11-23 12:28:52,15,nrf5340,raspi,1620,1693,1974,3,0,fuck IT with a stick
2181,2023-11-23 12:28:54,15,nrf5340,raspi,1617,1701,1977,3,0,fuck IT with a stick
2182,2023-11-23 12:28:55,15,nrf5340,raspi,1616,1693,1989,3,0,fuck IT with a stick
2183,2023-11-23 12:28:57,15,nrf5340,raspi,1611,1693,1984,3,0,fuck IT with a stick
2184,2023-11-23 12:28:59,15,nrf5340,raspi,1613,1691,1981,3,0,fuck IT with a stick
2185,2023-11-23 12:29:01,15,nrf5340,raspi,1615,1686,1984,3,0,fuck IT with a stick
2186,2023-11-23 12:29:03,15,nrf5340,raspi,1620,1688,1979,3,0,fuck IT with a stick
2187,2023-11-23 12:29:05,15,nrf5340,raspi,1620,1694,1970,3,0,fuck IT with a stick
2188,2023-11-23 12:29:07,15,nrf5340,raspi,1625,1691,1974,3,0,fuck IT with a stick
2189,2023-11-23 12:29:08,15,nrf5340,raspi,1617,1693,1982,3,0,fuck IT with a stick
2190,2023-11-23 12:29:10,15,nrf5340,raspi,1618,1693,1978,3,0,fuck IT with a stick
2191,2023-11-23 12:29:12,15,nrf5340,raspi,1616,1700,1979,3,0,fuck IT with a stick
2192,2023-11-23 12:29:14,15,nrf5340,raspi,1613,1699,1979,3,0,fuck IT with a stick
2198,2023-11-23 12:33:23,15,nrf5340,raspi,1617,1362,1662,4,0,fuck IT with a stick
2199,2023-11-23 12:33:25,15,nrf5340,raspi,1609,1358,1663,4,0,fuck IT with a stick
2200,2023-11-23 12:33:27,15,nrf5340,raspi,1611,1364,1665,4,0,fuck IT with a stick
2201,2023-11-23 12:33:29,15,nrf5340,raspi,1613,1359,1664,4,0,fuck IT with a stick
2202,2023-11-23 12:33:31,15,nrf5340,raspi,1613,1365,1662,4,0,fuck IT with a stick
2203,2023-11-23 12:33:33,15,nrf5340,raspi,1615,1362,1676,4,0,fuck IT with a stick
2204,2023-11-23 12:33:35,15,nrf5340,raspi,1614,1371,1669,4,0,fuck IT with a stick
2205,2023-11-23 12:33:36,15,nrf5340,raspi,1612,1366,1663,4,0,fuck IT with a stick
2206,2023-11-23 12:33:38,15,nrf5340,raspi,1614,1371,1666,4,0,fuck IT with a stick
2207,2023-11-23 12:33:40,15,nrf5340,raspi,1611,1353,1667,4,0,fuck IT with a stick
2208,2023-11-23 12:33:42,15,nrf5340,raspi,1611,1359,1662,4,0,fuck IT with a stick
2209,2023-11-23 12:33:44,15,nrf5340,raspi,1617,1358,1661,4,0,fuck IT with a stick
